#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.750306	4.09053e-166	5.00671e-135	8.17009e-32	N/S
null	1.24969	5.00671e-135	5.00671e-135	1	*
null	0.750306	3.08314e-46	3.24995e-38	9.48673e-09	N/S
null	1.24969	3.24995e-38	3.24995e-38	1	*
null	0.750306	2.85601e-32	1.17943e-26	2.42152e-06	N/S
null	1.24969	1.17943e-26	1.17943e-26	0.999998	*
null	0.750306	4.66147e-20	2.03453e-17	0.00229118	N/S
null	1.24969	2.02986e-17	2.03453e-17	0.997709	*
null	0.750306	1.04573e-60	5.9047e-47	1.77102e-14	N/S
null	1.24969	5.9047e-47	5.9047e-47	1	*
null	0.750306	2.37327e-34	2.86246e-28	8.29101e-07	N/S
null	1.24969	2.86246e-28	2.86246e-28	0.999999	*
null	0.750306	2.11899e-31	2.32302e-25	9.12168e-07	N/S
null	1.24969	2.32302e-25	2.32302e-25	0.999999	*
null	0.750306	2.33764e-19	3.49795e-17	0.00668288	N/S
null	1.24969	3.47458e-17	3.49795e-17	0.993317	*
null	0.750306	7.53689e-29	5.43532e-24	1.38665e-05	N/S
null	1.24969	5.43524e-24	5.43532e-24	0.999986	*
null	0.750306	1.03169e-31	5.13377e-25	2.00962e-07	N/S
null	1.24969	5.13377e-25	5.13377e-25	1	*
null	0.750306	5.34819e-17	2.9633e-15	0.0180481	N/S
null	1.24969	2.90982e-15	2.9633e-15	0.981952	*
null	0.750306	2.39682e-43	1.52815e-33	1.56844e-10	N/S
null	1.24969	1.52815e-33	1.52815e-33	1	*
null	0.750306	1.62248e-15	5.04805e-14	0.0321408	N/S
null	1.24969	4.8858e-14	5.04805e-14	0.967859	*
null	0.750306	2.0072e-26	1.87676e-21	1.0695e-05	N/S
null	1.24969	1.87674e-21	1.87676e-21	0.999989	*
null	0.750306	5.97043e-55	3.08967e-45	1.93239e-10	N/S
null	1.24969	3.08967e-45	3.08967e-45	1	*
null	0.750306	1.3044e-15	6.3496e-14	0.0205431	N/S
null	1.24969	6.21916e-14	6.3496e-14	0.979457	*
null	0.750306	2.53471e-32	8.07661e-27	3.13833e-06	N/S
null	1.24969	8.07659e-27	8.07661e-27	0.999997	*
null	0.750306	2.42971e-18	3.81908e-16	0.00636203	N/S
null	1.24969	3.79478e-16	3.81908e-16	0.993638	*
null	0.750306	3.38657e-15	1.55788e-13	0.0217383	N/S
null	1.24969	1.52401e-13	1.55788e-13	0.978262	*
null	0.750306	1.7631e-24	1.3192e-20	0.00013365	N/S
null	1.24969	1.31902e-20	1.3192e-20	0.999866	*
null	0.750306	8.36384e-16	3.50187e-14	0.023884	N/S
null	1.24969	3.41823e-14	3.50187e-14	0.976116	*
null	0.750306	2.89675e-15	1.42567e-13	0.0203186	N/S
null	1.24969	1.3967e-13	1.42567e-13	0.979681	*
null	0.750306	2.34677e-23	2.0012e-19	0.000117268	N/S
null	1.24969	2.00096e-19	2.0012e-19	0.999883	*
null	0.750306	2.36312e-19	2.13851e-16	0.00110503	N/S
null	1.24969	2.13615e-16	2.13851e-16	0.998895	*
null	0.750306	8.22931e-32	6.19963e-25	1.32739e-07	N/S
null	1.24969	6.19963e-25	6.19963e-25	1	*
null	0.750306	1.65287e-22	7.01933e-19	0.000235474	N/S
null	1.24969	7.01768e-19	7.01933e-19	0.999765	*
null	0.750306	2.84115e-49	6.77021e-41	4.19654e-09	N/S
null	1.24969	6.77021e-41	6.77021e-41	1	*
null	0.750306	5.75635e-44	1.87584e-36	3.06868e-08	N/S
null	1.24969	1.87584e-36	1.87584e-36	1	*
null	0.750306	4.95541e-12	3.99255e-11	0.124117	N/S
null	1.24969	3.49701e-11	3.99255e-11	0.875883	N/S
null	0.750306	1.0253e-13	2.9075e-12	0.035264	N/S
null	1.24969	2.80497e-12	2.9075e-12	0.964736	*
null	0.750306	3.00823e-11	2.78937e-10	0.107846	N/S
null	1.24969	2.48855e-10	2.78937e-10	0.892154	N/S
null	0.750306	4.93761e-15	1.74798e-13	0.0282476	N/S
null	1.24969	1.6986e-13	1.74798e-13	0.971752	*
null	0.750306	1.36802e-13	1.68405e-12	0.0812337	N/S
null	1.24969	1.54725e-12	1.68405e-12	0.918766	N/S
null	0.750306	7.29191e-14	1.76773e-12	0.0412501	N/S
null	1.24969	1.69481e-12	1.76773e-12	0.95875	*
null	0.750306	2.6549e-13	3.25826e-12	0.081482	N/S
null	1.24969	2.99277e-12	3.25826e-12	0.918518	N/S
null	0.750306	5.0123e-19	2.51031e-16	0.00199669	N/S
null	1.24969	2.5053e-16	2.51031e-16	0.998003	*
