FamilyID	Brapa_v1.3.priTranscripts<1>	Boleracea_capitata_v1.0.priTranscripts<2>	Athaliana_Araport11.priTranscripts<3>	Ahalleri_v2.1.0.priTranscripts<4>	Alyrata_v2.1.priTranscripts<5>	<6>	<7>	<8>	<9>
null	0	-1	-1	-1	138	0	0	0	0
null	2	-1	0	-1	34	0	0	0	0
null	2	18	15	-1	17	0	0	0	0
null	17	9	10	-1	10	0	0	0	0
null	65	-1	-1	-1	2	0	0	0	0
null	0	14	19	-1	17	0	0	0	0
null	1	12	27	-1	6	0	0	0	0
null	10	11	12	-1	11	0	0	0	0
null	1	15	13	-1	14	0	0	0	0
null	34	0	1	-1	0	0	0	0	0
null	10	8	9	-1	9	0	0	0	0
null	49	0	0	-1	-1	0	0	0	0
null	11	9	8	-1	7	0	0	0	0
null	1	21	12	-1	3	0	0	0	0
null	0	0	1	-1	44	0	0	0	0
null	12	7	8	-1	6	0	0	0	0
null	-1	13	15	-1	15	0	0	0	0
null	4	4	11	-1	10	0	0	0	0
null	9	4	4	-1	7	0	0	0	0
null	1	13	7	-1	12	0	0	0	0
null	6	9	9	-1	7	0	0	0	0
null	11	5	6	-1	6	0	0	0	0
null	1	13	14	-1	6	0	0	0	0
null	3	9	15	-1	4	0	0	0	0
null	1	35	0	-1	1	0	0	0	0
null	2	16	5	-1	9	0	0	0	0
null	0	1	-1	-1	37	0	0	0	0
null	2	0	0	-1	33	0	0	0	0
null	7	5	5	-1	4	0	0	0	0
null	11	5	5	-1	4	0	0	0	0
null	1	1	-1	-1	4	0	0	0	0
null	5	6	2	-1	8	0	0	0	0
null	7	7	6	-1	6	0	0	0	0
null	10	5	5	-1	5	0	0	0	0
null	7	6	7	-1	5	0	0	0	0
null	1	10	8	-1	7	0	0	0	0
null	0	8	11	-1	13	0	0	0	0
null	-1	7	4	-1	8	0	0	0	0
null	2	0	0	-1	-1	0	0	0	0
null	0	10	9	-1	8	0	0	0	0
null	2	11	10	-1	5	0	0	0	0
null	-1	2	-1	-1	32	0	0	0	0
null	-1	1	-1	-1	6	0	0	0	0
null	8	4	6	-1	3	0	0	0	0
null	-1	10	11	-1	1	0	0	0	0
null	9	4	4	-1	5	0	0	0	0
null	-1	19	1	-1	12	0	0	0	0
null	10	3	6	-1	1	0	0	0	0
null	2	6	10	-1	6	0	0	0	0
null	4	9	6	-1	6	0	0	0	0
null	2	2	13	-1	1	0	0	0	0
null	7	5	4	-1	7	0	0	0	0
null	8	4	4	-1	4	0	0	0	0
null	-1	3	28	-1	0	0	0	0	0
null	-1	11	8	-1	10	0	0	0	0
null	1	10	5	-1	1	0	0	0	0
null	0	-1	0	-1	30	0	0	0	0
null	0	5	12	-1	5	0	0	0	0
null	0	0	1	-1	2	0	0	0	0
null	3	1	10	-1	1	0	0	0	0
null	5	0	9	-1	4	0	0	0	0
null	-1	1	0	-1	28	0	0	0	0
null	5	4	4	-1	4	0	0	0	0
null	3	3	7	-1	8	0	0	0	0
null	-1	0	1	-1	0	0	0	0	0
null	-1	0	0	-1	28	0	0	0	0
null	3	8	6	-1	4	0	0	0	0
null	1	9	7	-1	7	0	0	0	0
null	4	5	5	-1	4	0	0	0	0
null	9	0	-1	-1	0	0	0	0	0
null	-1	1	17	-1	3	0	0	0	0
null	-1	19	2	-1	6	0	0	0	0
null	-1	9	7	-1	4	0	0	0	0
null	-1	10	14	-1	1	0	0	0	0
null	0	-1	0	-1	-1	0	0	0	0
null	14	0	0	-1	-1	0	0	0	0
null	5	3	3	-1	6	0	0	0	0
null	0	10	8	-1	3	0	0	0	0
null	2	5	7	-1	3	0	0	0	0
null	-1	7	1	-1	3	0	0	0	0
null	-1	8	14	-1	5	0	0	0	0
null	-1	0	-1	-1	27	0	0	0	0
null	1	2	11	-1	9	0	0	0	0
null	4	4	4	-1	5	0	0	0	0
null	8	2	3	-1	3	0	0	0	0
null	4	3	10	-1	2	0	0	0	0
null	-1	1	24	-1	1	0	0	0	0
null	5	5	6	-1	3	0	0	0	0
null	-1	8	19	-1	-1	0	0	0	0
null	8	3	3	-1	3	0	0	0	0
null	-1	1	6	-1	18	0	0	0	0
null	-1	5	2	-1	0	0	0	0	0
null	7	4	3	-1	3	0	0	0	0
null	3	5	7	-1	3	0	0	0	0
