#FamilyID	pvalue	Significant at 0.05
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.001	y
null	0	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.363	n
null	0	y
null	0	y
null	0	y
null	0	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.077	n
null	0	y
null	0	y
null	0	y
null	0.002	y
null	0	y
null	0.176	n
null	0	y
null	0	y
null	0	y
null	0.002	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.381	n
null	0	y
null	0	y
null	0	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.001	y
null	0.001	y
null	0	y
null	0	y
null	0.002	y
null	0	y
null	0.002	y
null	0	y
null	0.002	y
null	0.004	y
null	0.001	y
null	0	y
null	0	y
null	0.003	y
null	0.002	y
null	0.002	y
null	0.002	y
null	0.003	y
null	0	y
null	0	y
null	0.21	n
null	0	y
null	0.002	y
null	0.003	y
null	0	y
null	0.007	y
null	0	y
null	0	y
null	0.006	y
null	0	y
null	0.003	y
null	0.008	y
null	0	y
null	0	y
null	0.001	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0.003	y
null	0	y
null	0.006	y
null	0.034	y
null	0.006	y
null	0	y
null	0.004	y
null	0.008	y
null	0.007	y
null	0	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0	y
null	0.008	y
null	0	y
null	0	y
null	0.009	y
null	0.012	y
null	0.002	y
null	0.003	y
null	0.003	y
null	0.001	y
null	0.004	y
null	0	y
null	0	y
null	0.001	y
null	0	y
null	0	y
null	0.016	y
null	0.001	y
null	0	y
null	0	y
null	0	y
null	0.002	y
null	0	y
null	0.011	y
null	0.044	y
null	0	y
null	0	y
null	0	y
null	0.003	y
null	0.009	y
null	0.015	y
null	0	y
null	0	y
null	0.026	y
null	0.009	y
null	0.011	y
null	0	y
null	0.127	n
null	0.002	y
null	0.004	y
null	0.003	y
null	0	y
null	0.001	y
null	0.148	n
null	0	y
null	0.004	y
null	0	y
null	0.163	n
